rank,ground,capacity,city,country,home-team,images,location
1,Narendra Modi Stadium,132000,Ahmedabad,India,"India, Gujarat, Gujarat Titans",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Narendra_modi_stadium_2023_Final_between_India_and_Australia.jpg/150px-Narendra_modi_stadium_2023_Final_between_India_and_Australia.jpg,"[23.0215374, 72.5800568]"
2,Melbourne Cricket Ground,100024,Melbourne,Australia,"Australia, Victoria cricket team, Melbourne Stars",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/MCG_Panorama_24_July_2015.jpg/150px-MCG_Panorama_24_July_2015.jpg,"[-37.8142454, 144.9631732]"
